E_eV,E_minus_Ef,total_dos,Li,P,S,Cl,O,Nd
-41.5060,-45.3370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4960,-45.3270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4860,-45.3170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4760,-45.3070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4660,-45.2970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4560,-45.2870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4460,-45.2770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4360,-45.2670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4260,-45.2570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4160,-45.2470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.4060,-45.2370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3960,-45.2270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3860,-45.2170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3760,-45.2070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3660,-45.1970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3560,-45.1870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3460,-45.1770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3360,-45.1670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3260,-45.1570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3160,-45.1470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.3060,-45.1370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2960,-45.1270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2860,-45.1170,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2760,-45.1070,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2660,-45.0970,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2560,-45.0870,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2460,-45.0770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-41.2360,-45.0670,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
