# re-smoothed 2026-09-07: base sigma=0.05 eV + added 0.1414 -> effective sigma=0.15 eV (0.05^2 + 0.1414^2 = 0.15^2). Edge-padded (not zero) — outermost +-0.57 eV is padding-dependent.
# source: db/properties/lpsocl_dos_smooth_sigma005.csv (preserved unchanged)
# 2026-09-07: total DOS was left at base sigma 0.05 when the PDOS was re-smoothed to 0.15 on 2026-08-04 (asymmetry visible in figures). Brought to the lpscl16 family standard. Original preserved as lpsocl_dos_smooth_sigma005.csv.
E_minus_VBM,total_DOS
-8.0000,6.4021
-7.9800,6.7609
-7.9600,7.1458
-7.9400,7.5535
-7.9200,7.9811
-7.9000,8.4257
-7.8800,8.8851
-7.8600,9.3578
-7.8400,9.8432
-7.8200,10.3412
-7.8000,10.8523
-7.7800,11.3768
-7.7600,11.9143
-7.7400,12.4634
-7.7200,13.0205
-7.7000,13.5796
-7.6800,14.1318
-7.6600,14.6653
-7.6400,15.1656
-7.6200,15.6159
-7.6000,15.9980
-7.5800,16.2933
-7.5600,16.4840
-7.5400,16.5547
-7.5200,16.4930
-7.5000,16.2908
-7.4800,15.9450
-7.4600,15.4579
-7.4400,14.8371
-7.4200,14.0953
-7.4000,13.2493
-7.3800,12.3195
-7.3600,11.3286
-7.3400,10.3001
-7.3200,9.2577
-7.3000,8.2239
-7.2800,7.2191
-7.2600,6.2608
-7.2400,5.3634
-7.2200,4.5376
-7.2000,3.7905
-7.1800,3.1258
-7.1600,2.5441
-7.1400,2.0432
-7.1200,1.6188
-7.1000,1.2651
-7.0800,0.9748
-7.0600,0.7406
-7.0400,0.5545
-7.0200,0.4091
-7.0000,0.2974
-6.9800,0.2129
-6.9600,0.1500
-6.9400,0.1040
-6.9200,0.0710
-6.9000,0.0476
-6.8800,0.0314
-6.8600,0.0203
-6.8400,0.0129
-6.8200,0.0080
-6.8000,0.0048
-6.7800,0.0028
-6.7600,0.0016
-6.7400,0.0009
-6.7200,0.0004
-6.7000,0.0002
-6.6800,0.0001
-6.6600,0.0000
-6.6400,0.0000
-6.6200,0.0000
-6.6000,0.0000
-6.5800,0.0000
-6.5600,0.0000
-6.5400,0.0000
-6.5200,0.0000
-6.5000,0.0000
-6.4800,0.0000
-6.4600,0.0000
-6.4400,0.0000
-6.4200,0.0000
-6.4000,0.0000
-6.3800,0.0000
-6.3600,0.0000
-6.3400,0.0000
-6.3200,0.0000
-6.3000,0.0000
-6.2800,0.0000
-6.2600,0.0000
-6.2400,0.0000
-6.2200,0.0000
-6.2000,0.0000
-6.1800,0.0000
-6.1600,0.0000
-6.1400,0.0000
-6.1200,0.0000
-6.1000,0.0000
-6.0800,0.0000
-6.0600,0.0000
-6.0400,0.0001
-6.0200,0.0002
-6.0000,0.0003
-5.9800,0.0006
-5.9600,0.0012
-5.9400,0.0020
-5.9200,0.0034
-5.9000,0.0057
-5.8800,0.0091
-5.8600,0.0143
-5.8400,0.0220
-5.8200,0.0332
-5.8000,0.0493
-5.7800,0.0718
-5.7600,0.1029
-5.7400,0.1452
-5.7200,0.2016
-5.7000,0.2757
-5.6800,0.3712
-5.6600,0.4921
-5.6400,0.6426
-5.6200,0.8267
-5.6000,1.0480
-5.5800,1.3096
-5.5600,1.6133
-5.5400,1.9601
