"# Li MSD (A^2) vs t — LPSCl1.6. Seed-ensemble means, UMA-s-1p1 (omat)."
# t range 0-99 ps @ 1 ps. NOTE: parent file header says '0-200 ps'
#   but the data is truncated to the common length across temperatures.
"# 3 seeds; 600 K from modelc_600_reseed (200 ps run), 800/1000 K from highT_reseed (100 ps run)"
"# Fit window 2-50 ps, free intercept: MSD = 6Dt + c."
t_ps,MSD_600K_A2,MSD_800K_A2,MSD_1000K_A2
0.0,0.000,0.000,0.000
1.0,2.001,3.380,4.199
2.0,2.413,5.400,8.598
3.0,3.468,6.302,9.306
4.0,3.828,7.045,12.961
5.0,4.089,8.809,18.152
6.0,4.617,11.136,21.501
7.0,5.213,12.242,25.098
8.0,6.102,13.522,25.984
9.0,6.958,15.452,26.651
10.0,7.754,15.616,29.377
11.0,7.359,15.044,33.833
12.0,8.343,17.345,36.703
13.0,8.194,18.315,37.546
14.0,10.697,19.995,38.626
15.0,11.589,23.770,41.240
16.0,12.425,24.907,45.039
17.0,12.462,26.411,47.693
18.0,14.777,29.330,50.567
19.0,15.306,31.563,53.717
20.0,16.599,33.109,54.456
21.0,16.305,32.597,61.865
22.0,18.149,33.598,64.252
23.0,18.598,35.653,68.178
24.0,19.707,37.329,70.686
25.0,19.309,38.327,71.696
26.0,20.690,38.747,69.768
27.0,20.914,40.699,75.211
28.0,21.610,39.730,78.686
29.0,22.866,42.654,83.517
30.0,24.090,42.721,85.795
31.0,23.983,42.129,91.056
32.0,23.899,44.803,95.292
33.0,23.678,48.214,98.027
34.0,23.619,51.988,106.689
35.0,23.631,52.798,107.674
36.0,24.866,53.585,111.201
37.0,25.773,55.547,111.245
38.0,27.174,60.828,114.750
39.0,25.508,63.541,109.539
40.0,26.714,66.645,111.712
41.0,27.129,69.470,113.905
42.0,26.602,72.665,118.192
43.0,27.542,75.321,121.452
44.0,28.063,73.584,126.028
45.0,28.673,76.264,128.168
46.0,30.191,77.964,131.903
47.0,30.095,86.488,136.128
48.0,30.872,85.167,136.368
49.0,31.158,84.474,134.556
50.0,30.930,85.911,143.244
51.0,30.818,89.009,141.062
52.0,34.222,93.200,144.761
53.0,33.476,95.719,141.387
54.0,35.891,97.901,148.364
55.0,36.283,96.716,150.262
56.0,37.241,102.207,151.568
57.0,36.020,101.895,152.629
58.0,33.484,106.820,158.703
59.0,33.112,117.320,167.066
60.0,33.593,114.060,159.272
61.0,34.503,116.169,162.965
62.0,35.317,114.657,168.670
63.0,37.090,120.952,171.053
64.0,36.219,118.691,177.615
65.0,36.132,121.012,176.525
66.0,35.993,118.546,184.255
67.0,35.235,121.170,183.873
68.0,32.910,121.368,187.471
69.0,35.069,123.800,193.004
70.0,36.025,125.738,193.961
71.0,36.269,125.062,195.302
72.0,36.549,124.136,198.975
73.0,34.910,123.623,198.195
74.0,37.639,124.870,200.755
75.0,36.278,123.661,205.503
76.0,38.647,124.859,204.877
77.0,39.225,122.579,218.892
78.0,38.537,117.834,217.169
79.0,38.572,118.765,220.476
80.0,39.774,121.262,224.461
81.0,41.435,123.373,225.846
82.0,41.935,129.189,221.403
83.0,41.667,128.491,226.035
84.0,44.706,125.703,225.046
85.0,42.959,129.070,227.635
86.0,43.004,129.623,227.041
87.0,45.312,129.763,228.271
88.0,45.920,132.563,223.874
89.0,46.798,134.835,222.234
90.0,46.909,140.560,228.236
91.0,50.118,141.437,226.697
92.0,52.702,145.284,236.435
93.0,53.415,145.876,233.615
94.0,52.660,142.009,238.492
95.0,53.369,143.502,234.987
96.0,53.628,142.540,237.170
97.0,53.899,141.310,246.072
98.0,52.655,145.270,253.797
99.0,53.779,143.645,268.544
