# Phase A vox 0.15 32팔 — 러너 로그에서 회수한 dof·잔차 (2026-09-12)
# 출처: kgy `~/pa/phaseA_h015.log` 의 `STEP3 σ_e_eff = …` 줄 전수 (32/32, 로그 순서 그대로)
# ⚠ σ_e 는 그 줄에서 `[봉인 — --show-results 로 열림]` 이라 이 표로 팔을 σ 로 귀속할 수 없다.
# ⚠ 팔 JSON 에 dof 가 없다 (어댑터가 안 옮겼다) ⇒ dof 도 귀속 축으로 쓰려면 순환 논증이 된다.
# ★ 그러나 32줄의 잔차가 전부 [9.8e-09, 1.0e-08] 이므로 **어떤 귀속에서도 conv_ok 판정이 같다.**
# ★ dof 가 8개씩 네 무리로 정확히 갈리고 그 순서가 VGCF 1<2<3<4 wt% 와 단조 대응한다.
# 원본 payload 는 2026-09-12 디스크 정리로 삭제됐다 — 이 표가 잔차의 유일한 사본이다.
#
# line	vox_um	n_dof	cg_resid	wall_s	dof_group
1	0.15	46926559	1.0e-08	3365	A
2	0.15	48063895	1.0e-08	2653	B
3	0.15	49257385	1.0e-08	2493	C
4	0.15	46931135	9.9e-09	3155	A
5	0.15	48067214	9.9e-09	2779	B
6	0.15	49259791	1.0e-08	2464	C
7	0.15	46972573	1.0e-08	3190	A
8	0.15	48110980	9.9e-09	2665	B
9	0.15	49303799	9.9e-09	2886	C
10	0.15	46975076	9.9e-09	3198	A
11	0.15	48114107	1.0e-08	3765	B
12	0.15	49305820	1.0e-08	2046	C
13	0.15	46971544	1.0e-08	2144	A
14	0.15	48110262	9.9e-09	2022	B
15	0.15	49303391	1.0e-08	2015	C
16	0.15	46975736	1.0e-08	2159	A
17	0.15	48113973	1.0e-08	1896	B
18	0.15	49305011	1.0e-08	1983	C
19	0.15	47018232	9.9e-09	2537	A
20	0.15	48155215	1.0e-08	2262	B
21	0.15	49348487	9.9e-09	2291	C
22	0.15	47023028	9.8e-09	2711	A
23	0.15	48162157	1.0e-08	2281	B
24	0.15	49353048	1.0e-08	2170	C
25	0.15	50512446	1.0e-08	2536	D
26	0.15	50515466	1.0e-08	2575	D
27	0.15	50557918	1.0e-08	2620	D
28	0.15	50560060	1.0e-08	2531	D
29	0.15	50555826	1.0e-08	2585	D
30	0.15	50559552	1.0e-08	2414	D
31	0.15	50603136	1.0e-08	2541	D
32	0.15	50604546	1.0e-08	2531	D
