rank,ewald_eV,name,n_B,n_Li_fill
0,-1044.8233,cfg0000_E-1044.823,2,31
1,-1044.8233,cfg0001_E-1044.823,2,31
2,-1044.8233,cfg0002_E-1044.823,2,31
3,-1044.8233,cfg0003_E-1044.823,2,31
4,-1044.8233,cfg0004_E-1044.823,2,31
5,-1043.8282,cfg0005_E-1043.828,2,31
6,-1043.8282,cfg0006_E-1043.828,2,31
7,-1043.8282,cfg0007_E-1043.828,2,31
8,-1043.8282,cfg0008_E-1043.828,2,31
9,-1043.8282,cfg0009_E-1043.828,2,31
